"district_name","dis_id"
"Ariyalur","1"
"Kancheepuram","10"
"Kanniyakumari","11"
"Karur","12"
"Krishnagiri","13"
"Madurai","14"
"Mayiladuthurai","15"
"Nagapattinam","16"
"Namakkal","17"
"Nilgiris","18"
"Perambalur","19"
"Chengalpattu","2"
"Pudukkottai","20"
"Ramanathapuram","21"
"Ranipet","22"
"Salem","23"
"Sivagangai","24"
"Tenkasi","25"
"Thanjavur","26"
"Theni","27"
"Thiruchirappalli","28"
"Thiruvarur","29"
"Chennai","3"
"Thoothukudi","30"
"Tirunelveli","31"
"Tirupathur","32"
"Tiruppur","33"
"Tiruvallur","34"
"Tiruvannamalai","35"
"Vellore","36"
"Villupuram","37"
"Virudhunagar","38"
"Coimbatore","4"
"Cuddalore","5"
"Dharmapuri","6"
"Dindigul","7"
"Erode","8"
"Kallakurichi","9"
