_id,rainfall,station_name,latitude,longitude,district_name,taluk_name,firka_name,date
CUDBHUBHU1,0.0,Vadakrishnapuram,11.48413,79.61193,Cuddalore,Bhuvanagiri,Bhuvanagiri,09-12-2024
NLGPANCHE1,0.0,Erumad-1,11.56985,76.25904,Nilgiris,Pandalur,Cherambadi,09-12-2024
DGLDINDIN12,0.0,Mullipadi,10.3996,78.02181,Dindigul,Dindigul (East),Dindigul (East),09-12-2024
CGLTHRPAI20,0.0,Paiyanur,12.64387,80.17353,Chengalpattu,Thirupporur,Paiyanur,09-12-2024
ERDPERVEL44,0.0,Pungampadi,11.23535,77.65842,Erode,Perundurai,Vellode,09-12-2024
MDUTIRKOK5,0.0,A.Kokkulam,9.940408,77.97308,Madurai,Tirumangalam,Kokkulam,09-12-2024
CHN12Z157W39,0.4,Manappakkam,13.01277,80.16318,Chennai,Alandur,Ward 157 (Alandur),09-12-2024
SLMVALVAL49,0.0,Singipuram,11.6325,78.40721,Salem,Valapady,Valapady,09-12-2024
MYDSIRMAA1,0.0,Mahendirapalli,11.3609,79.79164,Mayiladuthurai,Sirkazhi,Maadhanam,09-12-2024
PDKKULKIL15,0.0,Chettipatti,10.67343,78.82814,Pudukkottai,Kulathur,Killukkottai,09-12-2024
TVRNANAKA4,0.0,Kollapuram,10.95308,79.71401,Thiruvarur,Nannilam,Akarathirumaalam,09-12-2024
RMDMUDKEE12,0.0,Pullandai,9.247273,78.78968,Ramanathapuram,Mudukulathur,Keelathooval,09-12-2024
TRYTHRNAV23,0.0,Navalpattu,10.72962,78.76209,Thiruchirappalli,Thiruverumbur,Navalpattu,09-12-2024
RPTSHOSHO14,0.0,Kodaikkal,13.06983,79.41381,Ranipet,Sholingur,Sholingur,09-12-2024
TPRPALPON32,0.0,Elavanthi,10.92115,77.31384,Tiruppur,Palladam,Pongalore,09-12-2024
DGLODDODD19,0.0,Oddanchataram,10.48284,77.7307,Dindigul,,Oddenchatram,09-12-2024
THNBODBOD2,0.0,Kottakudi,10.01851,77.26457,Theni,Bodinayakanur,Bodinayakanur_R.F,09-12-2024
TVMVANVAN57,0.0,Aarasoor,12.51501,79.54399,Tiruvannamalai,Vandavasi,Vandavasi,09-12-2024
CBEANAMAR22,0.0,Periyapodhu,10.60945,76.88068,Coimbatore,Anaimalai,Marchanayekanpalayam,09-12-2024
KKMAGANAG11,0.0,Nagercoil,8.180437,77.42472,Kanniyakumari,Agastheeswaram,Nagercoil,09-12-2024
TVRTHRAAL2,0.0,Alathampadi,10.60622,79.65983,Thiruvarur,Thiruthuraipoondi,Aalathambadi,09-12-2024
NMKSENALA1,0.0,Pottireddipatty,11.19321,78.25159,Namakkal,Sendamangalam,Alanganatham,09-12-2024
TPRPALPON31,0.0,Pongalur,10.9132,77.26472,Tiruppur,Palladam,Pongalore,09-12-2024
DGLPALPAL35,0.0,Balasuthiram,10.38262,77.48763,Dindigul,Palani,Palani,09-12-2024
DGLVEDAYY3,0.0,Ayyalur,10.48555,78.15359,Dindigul,Vedasandur,Ayyalur,09-12-2024
TUTTHOMUD20,0.0,Mudivaithanenthal,8.735126,78.00133,Thoothukudi,Thoothukudi,Mudivaithanendal,09-12-2024
TRYSRIAND4,0.0,Kodiyalam,10.84344,78.5844,Thiruchirappalli,Srirangam,Andanallur,09-12-2024
TUTSATPAL26,0.0,Naduvakurichi,8.37395,77.93809,Thoothukudi,Sattankulam,Pallakkurichi,09-12-2024
PMBKUNVAR49,0.0,Kunnam,11.23696,79.01611,Perambalur,,Varagur,09-12-2024
NLGGUDDEV4,0.0,Srimadurai,11.54884,76.48747,Nilgiris,Gudalur,Deversholai,09-12-2024
ARISENSEN13,0.0,Namangunam,11.28173,79.1229,Ariyalur,Sendurai,Sendurai,09-12-2024
PDKARAARA2,0.0,Aranthangi,10.17205,78.99706,Pudukkottai,Aranthangi,Aranthangi,09-12-2024
CUDCHIORA15,0.0,Orathur,11.42481,79.58653,Cuddalore,Chidambaram,Orathur,09-12-2024
